Freq.	V(vout)
1.93196831701689e+002	(-1.06883536649205e-003dB,-1.17938577268723e+000°)
1.93642196394658e+002	(-1.06993504602114e-003dB,-1.18210445945249e+000°)
1.94088587759275e+002	(-1.07103980015110e-003dB,-1.18482941289583e+000°)
1.94536008162263e+002	(-1.07214965231124e-003dB,-1.18756064745969e+000°)
1.94984459975802e+002	(-1.07326462602445e-003dB,-1.19029817761976e+000°)
1.95433945577536e+002	(-1.07438474489558e-003dB,-1.19304201788508e+000°)
1.95884467350596e+002	(-1.07551003268483e-003dB,-1.19579218279811e+000°)
1.96336027683602e+002	(-1.07664051325462e-003dB,-1.19854868693480e+000°)
1.96788628970681e+002	(-1.07777621051659e-003dB,-1.20131154490469e+000°)
1.97242273611482e+002	(-1.07891714857624e-003dB,-1.20408077135096e+000°)
1.97696964011183e+002	(-1.08006335159023e-003dB,-1.20685638095052e+000°)
1.98152702580507e+002	(-1.08121484385893e-003dB,-1.20963838841408e+000°)
1.98609491735734e+002	(-1.08237164978979e-003dB,-1.21242680848625e+000°)
1.99067333898716e+002	(-1.08353379386166e-003dB,-1.21522165594559e+000°)
1.99526231496885e+002	(-1.08470130071447e-003dB,-1.21802294560471e+000°)
1.99986186963271e+002	(-1.08587419514054e-003dB,-1.22083069231032e+000°)
2.00447202736513e+002	(-1.08705250193900e-003dB,-1.22364491094336e+000°)
2.00909281260870e+002	(-1.08823624607967e-003dB,-1.22646561641900e+000°)
2.01372424986236e+002	(-1.08942545268095e-003dB,-1.22929282368680e+000°)
2.01836636368153e+002	(-1.09062014689791e-003dB,-1.23212654773075e+000°)
2.02301917867824e+002	(-1.09182035408236e-003dB,-1.23496680356934e+000°)
2.02768271952125e+002	(-1.09302609963440e-003dB,-1.23781360625565e+000°)
2.03235701093619e+002	(-1.09423740914413e-003dB,-1.24066697087745e+000°)
2.03704207770569e+002	(-1.09545430827207e-003dB,-1.24352691255725e+000°)
2.04173794466950e+002	(-1.09667682278970e-003dB,-1.24639344645238e+000°)
2.04644463672464e+002	(-1.09790497857460e-003dB,-1.24926658775510e+000°)
2.05116217882553e+002	(-1.09913880170208e-003dB,-1.25214635169265e+000°)
2.05589059598411e+002	(-1.10037831829959e-003dB,-1.25503275352735e+000°)
2.06062991326997e+002	(-1.10162355461223e-003dB,-1.25792580855666e+000°)
2.06538015581050e+002	(-1.10287453706356e-003dB,-1.26082553211329e+000°)
2.07014134879101e+002	(-1.10413129212252e-003dB,-1.26373193956526e+000°)
2.07491351745488e+002	(-1.10539384643550e-003dB,-1.26664504631597e+000°)
2.07969668710366e+002	(-1.10666222677239e-003dB,-1.26956486780431e+000°)
2.08449088309726e+002	(-1.10793645998797e-003dB,-1.27249141950473e+000°)
2.08929613085401e+002	(-1.10921657308751e-003dB,-1.27542471692732e+000°)
2.09411245585086e+002	(-1.11050259319589e-003dB,-1.27836477561788e+000°)
2.09893988362349e+002	(-1.11179454755954e-003dB,-1.28131161115804e+000°)
2.10377843976644e+002	(-1.11309246354742e-003dB,-1.28426523916528e+000°)
2.10862814993325e+002	(-1.11439636867605e-003dB,-1.28722567529308e+000°)
2.11348903983661e+002	(-1.11570629056905e-003dB,-1.29019293523096e+000°)
2.11836113524847e+002	(-1.11702225698607e-003dB,-1.29316703470458e+000°)
2.12324446200018e+002	(-1.11834429580925e-003dB,-1.29614798947581e+000°)
2.12813904598268e+002	(-1.11967243502783e-003dB,-1.29913581534283e+000°)
2.13304491314654e+002	(-1.12100670280949e-003dB,-1.30213052814019e+000°)
2.13796208950220e+002	(-1.12234712742901e-003dB,-1.30513214373892e+000°)
2.14289060112002e+002	(-1.12369373725185e-003dB,-1.30814067804660e+000°)
2.14783047413050e+002	(-1.12504656086629e-003dB,-1.31115614700745e+000°)
2.15278173472434e+002	(-1.12640562687993e-003dB,-1.31417856660240e+000°)
2.15774440915263e+002	(-1.12777096410873e-003dB,-1.31720795284919e+000°)
2.16271852372698e+002	(-1.12914260149886e-003dB,-1.32024432180245e+000°)
2.16770410481966e+002	(-1.13052056809976e-003dB,-1.32328768955378e+000°)
2.17270117886371e+002	(-1.13190489309492e-003dB,-1.32633807223185e+000°)
2.17770977235312e+002	(-1.13329560584148e-003dB,-1.32939548600247e+000°)
2.18272991184296e+002	(-1.13469273578631e-003dB,-1.33245994706866e+000°)
2.18776162394951e+002	(-1.13609631253160e-003dB,-1.33553147167078e+000°)
2.19280493535041e+002	(-1.13750636582421e-003dB,-1.33861007608659e+000°)
2.19785987278479e+002	(-1.13892292551716e-003dB,-1.34169577663131e+000°)
2.20292646305342e+002	(-1.14034602166408e-003dB,-1.34478858965776e+000°)
2.20800473301886e+002	(-1.14177568437748e-003dB,-1.34788853155642e+000°)
2.21309470960560e+002	(-1.14321194395509e-003dB,-1.35099561875548e+000°)
2.21819641980018e+002	(-1.14465483084608e-003dB,-1.35410986772103e+000°)
2.22330989065136e+002	(-1.14610437561057e-003dB,-1.35723129495701e+000°)
